,,,,price,CO2_emissions,is_electric
ABARTH,695,2020,1.4 T-Jet 180 Rivale BVA5,,153,False
ABARTH,695,2019,1.4 T-Jet 180 70° Anniversario,,155,False
ABARTH,695,2019,1.4 T-Jet 180 70° Anniversario BVA5,,153,False
ABARTH,695,2019,1.4 T-Jet 165 XSR Yamaha,,139,False
ABARTH,695,2019,1.4 T-Jet 165 XSR Yamaha BVA5,,134,False
ABARTH,695,2019,1.4 T-Jet 180 Rivale,,155,False
ABARTH,695,2019,1.4 T-Jet 180 Rivale BVA5,,153,False
ABARTH,695C,2019,1.4 T-Jet 165 XSR Yamaha,,139,False
ABARTH,695C,2019,1.4 T-Jet 165 XSR Yamaha BVA5,,134,False
ABARTH,695C,2019,1.4 T-Jet 180 Rivale,,155,False
ABARTH,695C,2019,1.4 T-Jet 180 Rivale BVA5,,153,False
AIWAYS,U5,2021,150 kW Standard,39300,0,True
AIWAYS,U5,2021,150 kW Premium,42400,0,True
AIWAYS,U5,2021,125 kW Special Edition,,0,True
ALFA-ROMEO,4C,2019,1750 TBi Launch Edition TCT,,157,False
ALFA-ROMEO,4C,2019,1750 TBi Standard Edition TCT,,157,False
ALFA-ROMEO,4C,2019,1750 TBi Limited Edition TCT,,157,False
ALFA-ROMEO,4C,2019,1750 TBi Edizione Speciale TCT,,157,False
ALFA-ROMEO,4C,2019,1750 TBi Competizione TCT,,157,False
ALFA-ROMEO,4C-Spider,2019,1750 TBi Standard Edition TCT,,161,False
ALFA-ROMEO,4C-Spider,2019,1750 TBi Italia TCT,,161,False
ALFA-ROMEO,Giulia,2021,2.0 Turbo 200 AT8 Super,,157,False
ALFA-ROMEO,Giulia,2021,2.0 Turbo 200 AT8 Ti,,157,False
ALFA-ROMEO,Giulia,2021,2.0 Turbo 200 AT8 Sprint,,157,False
ALFA-ROMEO,Giulia,2021,2.0 Turbo 280 AT8 Veloce,,163,False
ALFA-ROMEO,Giulia,2021,2.0 Turbo 280 AT8 Q4 Veloce,,171,False
ALFA-ROMEO,Giulia,2021,2.9 V6 510 AT8 Q4 Quadriofoglio,,227,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 160 AT8 Super,,125,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 160 AT8 Ti,,125,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 160 AT8 Sprint,,125,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 190 AT8 Super,,125,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 190 AT8 Ti,,125,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 190 AT8 Sprint,,125,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 210 AT8 Q4 Veloce,,161,False
ALFA-ROMEO,Giulia,2021,2.0 Turbo 200 AT8 Giulia,,184,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 136 AT8 Giulia,,136,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 136 AT8 Super,,136,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 136 AT8 Ti,,142,False
ALFA-ROMEO,Giulia,2021,2.2 Turbo 136 AT8 Sprint,,141,False
ALFA-ROMEO,Giulia,2020,2.0 Turbo 200 AT8 Super,,157,False
ALFA-ROMEO,Giulia,2020,2.0 Turbo 200 AT8 Ti,,157,False
ALFA-ROMEO,Giulia,2020,2.0 Turbo 200 AT8 Sprint,,157,False
ALFA-ROMEO,Giulia,2020,2.0 Turbo 280 AT8 Veloce,,163,False
ALFA-ROMEO,Giulia,2020,2.0 Turbo 280 AT8 Q4 Veloce,,171,False
ALFA-ROMEO,Giulia,2020,2.9 V6 510 AT8 Q4 Quadriofoglio,,227,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 160 AT8 Super,,125,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 160 AT8 Ti,,125,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 160 AT8 Sprint,,125,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 190 AT8 Super,,125,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 190 AT8 Ti,,125,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 190 AT8 Sprint,,125,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 210 AT8 Q4 Veloce,,161,False
ALFA-ROMEO,Giulia,2020,2.0 Turbo 200 AT8 Giulia,,184,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 136 AT8 Giulia,,136,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 136 AT8 Super,,136,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 136 AT8 Ti,,142,False
ALFA-ROMEO,Giulia,2020,2.2 Turbo 136 AT8 Sprint,,141,False
ALFA-ROMEO,Giulia,2019,2.9 V6 Quadriofoglio,,198,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 AT8,,153,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 Pack Business AT8,,138,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 Super AT8,,153,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 Sport AT8,,138,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 Lusso AT8,,153,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 280 Veloce AT8 Q4,,175,False
ALFA-ROMEO,Giulia,2019,2.9 V6 NRING AT8,,212,False
ALFA-ROMEO,Giulia,2019,2.9 V6 Quadriofoglio AT8,,212,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 136,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 136 Pack Business,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150 Pack Business,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150 Super,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150 Lusso,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150 AT8,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150 Pack Business AT8,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150 Super AT8,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 150 Lusso AT8,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Super,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Sport,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Lusso,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Super AT8,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Sport AT8,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Lusso AT8,,109,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Advanced Efficiency Pack Business BVA,,99,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Advanced Efficiency Super AT8,,99,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Super AT8 Q4,,122,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 180 Lusso AT8 Q4,,122,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 210 Veloce AT8 Q4,,143,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 Business AT8,,153,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 Sport Edition AT8,,153,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 200 Executive AT8,,153,False
ALFA-ROMEO,Giulia,2019,2.0 Turbo 280 Veloce Ti AT8 Q4,,175,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 136 Business,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 136 Super,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 136 AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 136 Business AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 136 Super AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 160,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 160 Business,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 160 Super,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 160 AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 160 Business AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 160 Super AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 160 Executive AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Super,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Sport Edition,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Executive,,133,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Super AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Sport Edition AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Executive AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Lusso AT8,,128,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Super AT8 Q4,,143,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Sport Edition AT8 Q4,,143,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Executive AT8 Q4,,143,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 190 Lusso AT8 Q4,,143,False
ALFA-ROMEO,Giulia,2019,2.2 JTDm 210 Veloce Ti AT8 Q4,,143,False
ALFA-ROMEO,Giulietta,2021,1.4 TB MultiAir 150 Start&Stop Sportiva,,127,False
ALFA-ROMEO,Giulietta,2021,1.4 T-Jet 120 Start&Stop Giulietta,,166,False
ALFA-ROMEO,Giulietta,2021,1.4 T-Jet 120 Start&Stop Super,,157,False
