,,,price,CO2_emissions,url,is_electric,autonomous_range
ALFA-ROMEO,Tonale,1.5T Hybrid 160 TCT7 Ti,42400,136,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALFA-ROMEO,Tonale,1.5T Hybrid 160 TCT7 Veloce,44900,135,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALFA-ROMEO,Tonale,1.5T Hybrid 160 TCT7 Edizione Speciale,41000,136,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALFA-ROMEO,Tonale,1.6T Diesel 130 TCT7 Super,35900,146,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALFA-ROMEO,Tonale,1.6T Diesel 130 TCT7 Sprint,38400,146,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALFA-ROMEO,Tonale,1.6T Diesel 130 TCT7 Ti,40900,154,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Tonale,False,
ALPINE,A110,1.8 252 DCT7 Pure,58000,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALPINE/modele/A110,False,
ALPINE,A110,1.8 252 DCT7 Légende,62100,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALPINE/modele/A110,False,
ALPINE,A110,1.8 292 DCT7 S,69100,152,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALPINE/modele/A110,False,
ASTON-MARTIN,DB11-Cabriolet,4.0 V8,204706,230,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/DB11-Cabriolet,False,
ASTON-MARTIN,DB11-Coupé,4.0 V8,189277,230,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/DB11-Coupé,False,
ASTON-MARTIN,DB11-Coupé,5.9 V12,224874,265,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/DB11-Coupé,False,
ASTON-MARTIN,DBS-Superlegerra,5.9 V12,283544,285,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/DBS-Superlegerra,False,
ASTON-MARTIN,DBS-Superlegerra-Volante,5.9 V12,298670,285,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/DBS-Superlegerra-Volante,False,
ASTON-MARTIN,DBX,4.0 V8,195126,269,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/DBX,False,
ASTON-MARTIN,Vantage,4.0 V8 BVA8,150252,236,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/Vantage,False,
ASTON-MARTIN,Vantage-Roadster,4.0 V8 BVA8,158630,236,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ASTON-MARTIN/modele/Vantage-Roadster,False,
AUDI,A1-Citycarver,25 TFSI 95 Design,25400,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Citycarver,25 TFSI 95 Design Design Luxe,30500,129,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Citycarver,30 TFSI 110 Design,26310,128,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Citycarver,30 TFSI 110 Design Luxe,31410,128,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Citycarver,30 TFSI 110 S tronic 7 Design,28210,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Citycarver,30 TFSI 110 S tronic 7 Design Luxe,33310,141,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Citycarver,35 TFSI 150 S tronic 7 Design,30070,146,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Citycarver,35 TFSI 150 S tronic 7 Design Luxe,35170,146,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Citycarver,False,
AUDI,A1-Sportback,25 TFSI 95,21500,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 Design,23900,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 S line,28000,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 Design Luxe,29000,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 S tronic 7 Design,25800,133,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 S tronic 7 S line,29900,133,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 S tronic 7 Design Luxe,30900,133,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 Design,24910,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 S line,28910,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 Design Luxe,29910,123,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 S tronic 7 Design,26710,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 S tronic 7 S line,30810,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,30 TFSI 110 S tronic 7 Design Luxe,31810,132,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,35 TFSI 150 S tronic 7 Design,28570,139,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,35 TFSI 150 S tronic 7 S line,32670,139,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,35 TFSI 150 S tronic 7 Design Luxe,33670,139,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,40 TFSI 200 S tronic 7 S line,34160,158,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 Entry,22700,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
AUDI,A1-Sportback,25 TFSI 95 Advanced,25000,125,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AUDI/modele/A1-Sportback,False,
